Farm_ID,Season,Region,Crop_Type,Farming_Practice,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Fertilizer_Usage_kg,Pesticide_Usage_kg,Irrigation_Water_m3,Yield_tons_per_ha,Production_Cost_USD,Revenue_USD
FARM_1001,Rabi (Winter),Central Zone,Mustard,Organic,106.9,14.4,47.2,5.68,153.4,5.5,5238.8,6.69,1126.22,2329.12
FARM_1002,Autumn,West Zone,Groundnut,Organic,222.9,23.8,55.3,5.95,190.0,10.4,3597.1,6.56,1079.73,2260.16
FARM_1003,Zaid (Summer),Central Zone,Vegetables,Precision Farming,46.2,38.1,48.2,8.18,159.0,8.0,3578.6,4.46,1041.99,1519.42
FARM_1004,Rabi (Winter),East Zone,Barley,Conventional,108.0,21.8,39.3,7.02,146.1,11.2,2751.4,6.76,975.69,2362.19
FARM_1005,Kharif (Monsoon),North Zone,Pulses,Hydroponic,1214.4,31.9,77.2,6.46,184.1,9.6,2882.6,9.03,1038.57,3776.19
FARM_1006,Kharif (Monsoon),East Zone,Rice,Precision Farming,907.4,23.8,80.3,6.28,169.8,6.5,3708.6,8.56,1011.98,2754.35
FARM_1007,Kharif (Monsoon),East Zone,Maize,Organic,822.5,25.5,77.7,6.19,177.9,9.2,3310.1,8.65,1060.46,3167.09
FARM_1008,Autumn,South Zone,Soybean,Conventional,254.6,21.6,59.0,7.29,122.9,10.5,1406.5,5.57,775.85,1746.37
FARM_1009,Rabi (Winter),South Zone,Mustard,Conventional,92.3,21.4,47.5,6.63,134.0,7.2,5509.8,6.34,1101.77,2189.36
FARM_1010,Zaid (Summer),South Zone,Sunflower,Conventional,35.6,37.5,43.7,8.11,79.3,8.8,5430.4,3.77,1058.4,1161.19
FARM_1011,Kharif (Monsoon),South Zone,Cotton,Precision Farming,970.7,30.7,89.7,7.35,120.4,5.2,4870.1,7.58,1032.39,2714.75
FARM_1012,Autumn,Central Zone,Soybean,Precision Farming,287.5,20.6,66.9,7.64,167.7,9.9,3138.0,5.84,1027.14,1851.87
FARM_1013,Zaid (Summer),West Zone,Vegetables,Precision Farming,46.6,32.1,41.0,6.29,159.7,8.4,6476.2,4.82,1274.82,1374.43
FARM_1014,Kharif (Monsoon),North Zone,Maize,Conventional,979.9,25.5,86.4,5.71,105.7,10.8,4286.2,7.27,1032.87,2865.38
FARM_1015,Kharif (Monsoon),East Zone,Maize,Organic,701.6,27.3,81.9,6.82,184.9,9.8,3500.1,7.58,1095.58,2258.5
FARM_1016,Kharif (Monsoon),Central Zone,Pulses,Precision Farming,791.8,22.7,84.6,6.35,244.1,7.5,4779.1,9.0,1257.07,2983.73
